index_items,product_name,category_name,sub_category,brand_name,sale_price,market_price,type_product,rating_product,price_segment
2,Water Bottle - Orange,Kitchen Garden & Pets,Storage & Accessories,Mastercook,180,180,Water & Fridge Bottles,2.3,Medium
3,Brass Angle Deep - Plain No.2,Cleaning & Household,Pooja Needs,Trm,119,250,Lamp & Lamp Oil,3.4,Medium
4,Cereal Flip Lid Container/Storage Jar - Assorted Colour,Cleaning & Household,Bins & Bathroom Ware,Nakoda,149,176,Laundry Storage Baskets,3.7,Medium
5,Creme Soft Soap - For Hands & Body,Beauty & Hygiene,Bath & Hand Wash,Nivea,162,162,Bathing Bars & Soaps,4.4,Medium
56,Soothing Cucumber Facial Scrub With Apricot Seeds,Beauty & Hygiene,Skin Care,TJORI,299.4,499,Face Care,,Medium
57,Foochka,Snacks & Branded Foods,Ready To Cook & Eat,Shareat,60,60,Papads Ready To Fry,3.9,Low
58,Argan-Liquid Gold Hair Spa,Beauty & Hygiene,Hair Care,Aroma Treasures,199.5,210,Hair & Scalp Treatment,4.4,Medium
108,Henna & Ginseng Anti Hair Loss Shampoo,Beauty & Hygiene,Hair Care,Jovees,137.75,145,Shampoo & Conditioner,3.6,Medium
109,Sandwich Toaster - Non-Stick Gas,Kitchen Garden & Pets,Cookware & Non Stick,Omega,249,315,Kadai & Fry Pans,3.3,Medium
110,Baby Cereal - Ragi Almond & Banana 6-8 Months No Preservatives No Artificial Colours,Baby Care,Baby Food & Formula,Slurrp Farm,349,349,Baby Food,4,Medium
111,Incense Sticks - Sandal,Cleaning & Household,Pooja Needs,Ambica,60,60,Agarbatti Incense Sticks,4.6,Low
161,One Touch Air Purifier Freshener - Floral Bouquet Refill,Cleaning & Household,Fresheners & Repellents,Odonil,77,77,Air Freshener,4.2,Low
162,Water/Juice Glass,Kitchen Garden & Pets,Crockery & Cutlery,Yera,189,220,Glassware,3.7,Medium
163,Color Naturals Creme Riche Ultra Hair Color - Raspberry Red,Beauty & Hygiene,Hair Care,Garnier,199,199,Hair Color,4.1,Medium
165,Silver Needles Tulsi White Tea Bags - Rich In Antioxidants Pure Tea Buds,Gourmet & World Food,Drinks & Beverages,Sancha,450,450,Gourmet Tea & Tea Bags,,Medium
214,Apple Cider Vinegar - Raw Unfiltered Unpasteurized with Cinamon & Honey,Gourmet & World Food,Oils & Vinegar,Zoe,449.1,499,Balsamic & Cider Vinegar,5,Medium
216,Wonderz Milk Shakes - Classic Vanilla,Bakery Cakes & Dairy,Dairy,Sunfeast,29.75,35,Flavoured Soya Milk,4.5,Low
217,Marie Light Biscuits - Oats Fibre,Snacks & Branded Foods,Biscuits & Cookies,Sunfeast,25,25,Marie Health Digestive,4.3,Low
218,Masala - Chicken,Foodgrains Oil & Masala,Masalas & Spices,Annapoorna,28,28,Blended Masalas,4.8,Low
219,Dark Chocolate- 55% Rich In Cocoa,Snacks & Branded Foods,Chocolates & Candies,Amul,87.12,100,Chocolates,4.3,Low
220,Gentle Baby Wipes,Baby Care,Diapers & Wipes,Himalaya,699,699,Baby Wipes,4.1,High
268,Ayurvedic Soap,Beauty & Hygiene,Bath & Hand Wash,Chandrika,230.4,288,Bathing Bars & Soaps,4.4,Medium
269,Glass Matt Finish Bottle With Plastic Cap - Blue BB1324,Kitchen Garden & Pets,Storage & Accessories,DP,169,309,Water & Fridge Bottles,,Medium
270,Perfume - Youth Dew EDP Spray,Beauty & Hygiene,Fragrances & Deos,Estee Lauder,3500,3500,Eau De Parfum,,High
271,Cotton Swabs,Beauty & Hygiene,Health & Medicine,Tulips,109,109,Cotton & Ear Buds,4,Medium
272,Organic Idly - Oats,Snacks & Branded Foods,Ready To Cook & Eat,Aaha Oho,125,125,Breakfast & Snack Mixes,,Medium
273,Red Curry,Gourmet & World Food,Cooking & Baking Needs,Real Thai,270,270,Curry Paste Coconut Milk,4.4,Medium
321,Soft Drink - Lime Flavoured,Beverages,Energy & Soft Drinks,Sprite,38,40,Cold Drinks,4.3,Low
322,Coffee Creamer - Coffee-Mate,Gourmet & World Food,Drinks & Beverages,Nestle,425,425,Coffee & Pre-Mix,,Medium
323,Royce Premium High Quality Pedal Plastic Dustbin / Garbage Bin - Blue,Cleaning & Household,Bins & Bathroom Ware,MVS,219,265,Dustbins,2.8,Medium
324,Khaas Shampoo Bar - Heena Amla,Beauty & Hygiene,Hair Care,Stonesoup,295,295,Shampoo & Conditioner,,Medium
375,Milly Magic Chocolate Balls - Gluten Free,Snacks & Branded Foods,Breakfast Cereals,Schar,485,485,Kids Cereal,4,Medium
376,Millet Based Nutrition Bar - Classic,Gourmet & World Food,Cereals & Breakfast,Ah!rogya Bar,20,20,Cereal & Granola Bars,4,Low
377,Bathroom Cleaner - Liquid Hand Made,Cleaning & Household,All Purpose Cleaners,Wild Ideas,120,120,Toilet Cleaners,3.5,Medium
378,Kodo Millet Rice - Pesticide Free,Foodgrains Oil & Masala,Dals & Pulses,Safe Harvest,84.15,85,Cereals & Millets,4.1,Low
379,Amla Juice,Beverages,Fruit Juices & Drinks,Patanjali,220,220,Juices,,Medium
380,Cheddar - English,Gourmet & World Food,Dairy & Cheese,Dairy Craft,530,530,International Cheese,,High
381,Power - Fresh Breath Fluoride Toothpaste 100 g + Sensitive Toothpaste 80 g,Beauty & Hygiene,Oral Care,Clove,203.99,240,Toothpaste,,Medium
382,Matcha Moringa Bar Bites - Mini Gluten-free Vegan,Gourmet & World Food,Chocolates & Biscuits,She made,112.56,168,Cookies Biscotti Wafer,,Medium
384,Wipeout Germ Killing Soap,Beauty & Hygiene,Bath & Hand Wash,MyGlamm,55.2,69,Hand Wash & Sanitizers,4,Low
428,Multipurpose Germ Protection Anti-Bacterial Wipes With Lemon Fragrance,Cleaning & Household,All Purpose Cleaners,Corsafe Advance,100,100,Disinfectant Spray & Cleaners,,Medium
429,Basmati Rice/Basmati Akki - Rozana Super 90,Foodgrains Oil & Masala,Rice & Rice Products,Daawat,340,390,Basmati Rice,3.9,Medium
430,Milk power Frappe Milkshake - Belgian Chocolate,Bakery Cakes & Dairy,Dairy,Real,27,30,Flavoured Soya Milk,4.2,Low
431,Peanut Butter - Unsweetened Crunchy,Snacks & Branded Foods,Spreads Sauces Ketchup,Happy Jars,275,275,Choco & Nut Spread,3.8,Medium
432,Salem Turmeric Powder/Arisina Pudi,Foodgrains Oil & Masala,Masalas & Spices,Orika,24.75,33,Powdered Spices,4.4,Low
480,Bounce Biscuits - Elaichi Creme,Snacks & Branded Foods,Biscuits & Cookies,Sunfeast,27,30,Cream Biscuits & Wafers,4.1,Low
482,Olive Oil - Classic,Gourmet & World Food,Oils & Vinegar,La Espanola,589,1350,Pure Pomace Olive Oil,,High
483,Light Soy Sauce - Reduced Salt,Gourmet & World Food,Sauces Spreads & Dips,Tai Hua,346.5,385,Thai & Asian Sauces,3.9,Medium
484,Kitchen Cleaning/Dusting Microfibre Cloth - Red & Grey G130064RG,Cleaning & Household,Mops Brushes & Scrubs,Liao,219,258,Dust Cloth & Wipes,4,Medium
485,Painting Kit,Cleaning & Household,Stationery,Doms,196,199,Colours & Crayons,4.7,Medium
517,Meswak Toothpaste,Beauty & Hygiene,Oral Care,Dabur,426.3,525,Toothpaste,4.3,Medium
534,Hair Styling Gel - High Hold With Wet Looks,Beauty & Hygiene,Men's Grooming,Man Arden,299,299,Hair Care & Styling,,Medium
535,Brazil - Single Origin Dark Chocolate,Gourmet & World Food,Chocolates & Biscuits,Toska Chocolates,320,320,Luxury Chocolates Gifts,5,Medium
536,Sesame Chikki,Snacks & Branded Foods,Indian Mithai,Paper Boat,300,300,Chikki & Gajjak,4,Medium
589,Baby Oil With Fruit Extracts,Baby Care,Baby Bath & Hygiene,Mee Mee,343.2,429,Baby Oil & Shampoo,,Medium
591,Sunlite Spray,Beauty & Hygiene,Skin Care,Aroma Magic,475,475,Face Care,,Medium
592,Max Fresh New Super Plastic Lunch Box/Tiffin Box - Blue,Kitchen Garden & Pets,Storage & Accessories,Cello,469,602,Lunch Boxes,4.5,Medium
593,Fruit Yoghurt - Mango,Bakery Cakes & Dairy,Dairy,Milky Mist,79,160,Yogurt & Shrikhand,4,Low
594,Chipotle Pepper Sauce,Gourmet & World Food,Cooking & Baking Needs,Tabasco,749,749,Curry Paste Coconut Milk,4.8,High
643,Passiflora Herb Powder - Supports Low Stress Strain & Low Blood Pressure,Beauty & Hygiene,Health & Medicine,Bixa Botanical,295,295,Ayurveda,,Medium
644,Zeb Rise Wired 1200 DPI USB Optical High Precision Mouse,Cleaning & Household,Stationery,Zebronics,168,229,Electronic Accessories,,Medium
645,Glass Cleaner,Cleaning & Household,All Purpose Cleaners,Excel Plus,129,129,Kitchen Glass & Drain,3.8,Medium
646,Aika Snack Bowl Set,Kitchen Garden & Pets,Crockery & Cutlery,Craftel,159,245,Glassware,3.9,Medium
695,Edam Ball Cheese - Diced,Gourmet & World Food,Dairy & Cheese,Fresho Signature,342,380,International Cheese,,Medium
697,Channa Masala,Foodgrains Oil & Masala,Masalas & Spices,bb Royal,21,35,Powdered Spices,4.1,Low
698,Red Pasta Sauce,Snacks & Branded Foods,Ready To Cook & Eat,Weikfield,40,40,Breakfast & Snack Mixes,4,Low
699,100% Pure Honey - Worlds No.1 Honey Brand With No Sugar Adulteration,Snacks & Branded Foods,Spreads Sauces Ketchup,Dabur,138,170,Honey,4.2,Medium
